DomainLabel	nMuts	nGenes	pfam	Description
BCAT_beta_family	1	1	cd01557	BCAT_beta_family: Branched-chain aminotransferase catalyses the transamination of the branched-chain amino acids  leusine, isoleucine and valine to their respective alpha-keto acids, alpha-ketoisocaproate, alpha-keto-beta-methylvalerate and...
BCLP	1	1	pfam12304	Beta-casein like protein
BEX	1	1	pfam04538	Brain expressed X-linked like family
BLOC1_2	1	1	pfam10046	Biogenesis of lysosome-related organelles complex-1 subunit 2
BMS1	1	1	cd01882	Bms1, an essential GTPase, promotes assembly of preribosomal RNA processing complexes
BPI	1	1	Bactericidal permeability-increasing protein (BPI) / Lipopolysaccharide-binding protein (LBP) / Cholesteryl ester transfer protein (CETP) domain	BPI/LBP/CETP domain
BPI2	1	1	Bactericidal permeability-increasing protein (BPI) / Lipopolysaccharide-binding protein (LBP) / Cholesteryl ester transfer protein (CETP) C-terminal domain	BPI/LBP/CETP C-terminal domain
BPL_LplA_LipB	1	1	pfam03099	Biotin/lipoate A/B protein ligase family
BPS	1	1	pfam08947	BPS (Between PH and SH2)
BRCA-2_helical	1	1	pfam09169	BRCA2, helical
BRI3BP	1	1	NA	NA
BRICHOS	1	1	smart01039	The BRICHOS domain is found in a variety of proteins implicated in dementia, respiratory distress and cancer
BRIGHT	1	1	smart00501	BRIGHT, ARID (A/T-rich interaction domain) domain
BRK	1	1	cl02688	BRK domain
BRO1_Rhophilin_1	1	1	cd09248	Protein-interacting Bro1-like domain of RhoA-binding protein Rhophilin-1
BSMAP	1	1	pfam12280	Brain specific membrane anchored protein
BVR-B_like_SDR_a	1	1	atypical (a) SDRs	biliverdin IX beta reductase (BVR-B, aka flavin reductase)-like proteins
Bac_surface_Ag	1	1	pfam01103	Surface antigen
BaeS	1	1	COG0642	Signal transduction histidine kinase [Signal transduction mechanisms]
BcrAD_BadFG	1	1	pfam01869	BadF/BadG/BcrA/BcrD ATPase family
Biliv-reduc_cat	1	1	pfam09166	Biliverdin reductase, catalytic
BrkDBD	1	1	pfam09607	Brinker DNA-binding domain
Bromo_Acf1_like	1	1	Acf1_like or BAZ1A_like subfamily. Bromo adjacent to zinc finger 1A (BAZ1A) was identified as a novel human bromodomain gene by cDNA library screening. The Drosophila homologue, Acf1, is part of the CHRAC (chromatin accessibility complex)...	Bromodomain
Bromo_SNF2L2	1	1	cd05516	Bromodomain, SNF2L2-like subfamily, specific to animals. SNF2L2 (SNF2-alpha) or SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2 is a global transcriptional activator, which cooperates with nuclear hormone...
Bromo_TFIID	1	1	cd05511	Bromodomain, TFIID-like subfamily. Human TAFII250 (or TAF250) is the largest subunit of TFIID, a large multi-domain complex, which initiates the assembly of the transcription machinery. TAFII250 contains two bromodomains that specifically bind to...
Bromo_WSTF_like	1	1	Williams syndrome transcription factor-like subfamily (WSTF-like). The Williams-Beuren syndrome deletion transcript 9 is a putative transcriptional regulator. WSTF was found to play a role in vitamin D-mediated transcription as part of two...	Bromodomain
Bromo_ZMYND11	1	1	ZMYND11_like sub-family. ZMYND11 or BS69 is a ubiquitously expressed nuclear protein that has been shown to associate with chromatin. It interacts with chromatin remodeling factors and might play a role in chromatin remodeling and gene...	Bromodomain
Bromo_brd1_like	1	1	brd1_like subfamily. BRD1 is a mammalian gene which encodes for a nuclear protein assumed to be a transcriptional regulator. BRD1 has been implicated with brain development and susceptibility to schizophrenia and bipolar affective disorder	Bromodomain
Bromo_brd7_like	1	1	cd05513	Bromodomain, brd7_like subgroup. The BRD7 gene encodes a nuclear protein that has been shown to inhibit cell growth and the progression of the cell cycle by regulating cell-cycle genes at the transcriptional level. BRD7 has been identified as a gene...
Bromo_brd8_like	1	1	cd05507	Bromodomain, brd8_like subgroup. In mammals, brd8 (bromodomain containing 8) interacts with the thyroid hormone receptor in a ligand-dependent fashion and enhances thyroid hormone-dependent activation from thyroid response elements. Brd8 is thought to be...
Bromo_tif1_like	1	1	tif1_like subfamily. Tif1 (transcription intermediary factor 1) is a member of the tripartite motif (TRIM) protein family, which is characterized by a particular domain architecture. It functions by recruiting coactivators and/or...	Bromodomain
Bystin	1	1	pfam05291	Bystin
C1_1	1	1	pfam00130	Phorbol esters/diacylglycerol binding domain (C1 domain)
C2A_Ferlin	1	1	cd08373	C2 domain first repeat in Ferlin
C2A_Munc13	1	1	cd08394	C2 domain first repeat in Munc13 (mammalian uncoordinated) proteins
C2A_Synaptotagmin-7	1	1	cd08386	C2A domain first repeat present in Synaptotagmin 7
C2A_Tac2-N	1	1	cd08684	C2 domain first repeat found in Tac2-N (Tandem C2 protein in Nucleus)
C2B_Ferlin	1	1	cd04011	C2 domain second repeat in Ferlin
C2B_Rabphilin_Doc2	1	1	cd08384	C2 domain second repeat present in Rabphilin and Double C2 domain
C2B_RasA3	1	1	cd04010	C2 domain second repeat present in RAS p21 protein activator 3 (RasA3)
C2B_Synaptotagmin-4	1	1	cd08404	C2 domain second repeat present in Synaptotagmin 4
C2C_KIAA1228	1	1	cd04030	C2 domain third repeat present in uncharacterized human KIAA1228-like proteins
C2_Calpain	1	1	cd04046	C2 domain present in Calpain proteins
C2_Dock-A	1	1	cd08694	C2 domains found in Dedicator Of CytoKinesis (Dock) class A proteins
C2_Freud-1	1	1	cd08690	C2 domain found in 5' repressor element under dual repression binding protein-1 (Freud-1)
C2_Kibra	1	1	cd08680	C2 domain found in Human protein Kibra
C2_NEDL1-like	1	1	cd08691	C2 domain present in NEDL1 (NEDD4-like ubiquitin protein ligase-1)
C2_PI3K_class_I_gamma	1	1	cd08399	C2 domain present in class I gamma phosphatidylinositol 3-kinases (PI3Ks)
C2_PKC_alpha_gamma	1	1	cd04026	C2 domain in Protein Kinase C (PKC) alpha and gamma
C2_PKN-like	1	1	cd08687	C2 domain in Protein kinase C-like (PKN) proteins
C2_Perforin	1	1	cd04032	C2 domain of Perforin
C2_Rab11-FIP_classI	1	1	cd08682	C2 domain found in Rab11-family interacting proteins (FIP) class I
C2_SynGAP_like	1	1	cd04013	C2 domain present in Ras GTPase activating protein (GAP) family
CAF1C_H4-bd	1	1	pfam12265	Histone-binding protein RBBP4 or subunit C of CAF1 complex
CAL1	1	1	COG5029	Prenyltransferase, beta subunit [Posttranslational modification, protein turnover, chaperones]
CAML	1	1	NA	NA
CAMSAP_CKK	1	1	smart01051	Microtubule-binding calmodulin-regulated spectrin-associated
CAP10	1	1	smart00672	Putative lipopolysaccharide-modifying enzyme
CAP18_C	1	1	pfam12153	LPS binding domain of CAP18 (C terminal)
CAP_N	1	1	pfam01213	Adenylate cyclase associated (CAP) N terminal
CARD_CASP1-like	1	1	cd08325	Caspase activation and recruitment domain found in Caspase-1 and related proteins
CARD_IPS1	1	1	cd08811	Caspase activation and recruitment domain (CARD) found in IPS-1
CARM1	1	1	pfam11531	Coactivator-associated arginine methyltransferase 1 N terminal
CAS_CSE1	1	1	pfam03378	CAS/CSE protein, C-terminus
CBF	1	1	cl10505	CBF/Mak21 family
CBFD_NFYB_HMF	1	1	pfam00808	Histone-like transcription factor (CBF/NF-Y) and archaeal histone
CBM20	1	1	cl15347	The family 20 carbohydrate-binding module (CBM20), also known as the starch-binding domain, is found in a large number of starch degrading enzymes including alpha-amylase, beta-amylase, glucoamylase, and CGTase (cyclodextrin glucanotransferase). CBM20 is...
CBS_pair_EriC_assoc_euk_bac	1	1	cd04591	This cd contains two tandem repeats of the cystathionine beta-synthase (CBS pair) domains in the EriC CIC-type chloride channels in eukaryotes and bacteria. These ion channels are proteins with a seemingly simple task of allowing the passive flow of...
CC3_like_SDR_a	1	1	cd05250	CC3(TIP30)-like, atypical (a) SDRs
CCDC14	1	1	NA	NA
CD225	1	1	pfam04505	Interferon-induced transmembrane protein
CDC27	1	1	pfam09507	DNA polymerase subunit Cdc27
CDC48	1	1	TIGR01243	AAA family ATPase, CDC48 subfamily
CDC50	1	1	cl02095	LEM3 (ligand-effect modulator 3) family / CDC50 family
CDC73	1	1	pfam05179	RNA pol II accessory factor, Cdc73 family
CDV3	1	1	NA	NA
CED-6	1	1	cd01273	CED-6 Phosphotyrosine-binding (PTB) domain
CENP-K	1	1	pfam11802	Centromere-associated protein K
CENP-N	1	1	pfam05238	Kinetochore protein CHL4 like
CENP-U	1	1	pfam13097	CENP-A nucleosome associated complex (NAC) subunit
CENPB	1	1	smart00674	Putative DNA-binding domain in centromere protein B, mouse jerky and transposases
CEP76-C2	1	1	NA	NA
CG-1	1	1	smart01076	CG-1 domains are highly conserved domains of about 130 amino-acid residues
CGI-121	1	1	pfam08617	Kinase binding protein CGI-121
CHAT	1	1	pfam12770	CHAT domain
CHD	1	1	cd07302	cyclase homology domain
CHDCT2	1	1	pfam08074	CHDCT2 (NUC038) domain
CID	1	1	CID is present in several RNA-processing factors such as Pcf11 and Nrd1. Pcf11 is a conserved and essential subunit of the yeast cleavage factor IA, which is required for polyadenylation-dependent 3'-RNA...	CID (CTD-Interacting Domain) domain family
CIDE_N_A	1	1	cd06539	CIDE_N domain of CIDE-A proteins. The CIDE_N (cell death-inducing DFF45-like effector, N-terminal) domain is found at the N-terminus of the CIDE (cell death-inducing DFF45-like effector) proteins. These proteins are associated with the chromatin...
CIDE_N_ICAD	1	1	cd06536	CIDE_N domain of ICAD. The CIDE_N  (cell death-inducing DFF45-like effector, N-terminal) domain is found at the N-terminus of the CAD nuclease (caspase-activated DNase/DNA fragmentation factor, DFF40) and its inhibitor, ICAD (DFF45). These proteins are...
CIMR	1	1	pfam00878	Cation-independent mannose-6-phosphate receptor repeat
CLECT_CSPGs	1	1	cd03588	C-type lectin-like domain (CTLD) of the type found in chondroitin sulfate proteoglycan core proteins
CLECT_attractin_like	1	1	cd03597	C-type lectin-like domain (CTLD) of the type found in human and mouse attractin (AtrN) and attractin-like protein (ALP)
CLECT_chondrolectin_like	1	1	cd03595	C-type lectin-like domain (CTLD) of the type found in the human type-1A transmembrane proteins chondrolectin (CHODL) and layilin
CLECT_selectins_like	1	1	cd03592	C-type lectin-like domain (CTLD) of the type found in the type 1 transmembrane proteins:  P(platlet)-, E(endothelial)-, and L(leukocyte)- selectins (sels)
CLP_protease	1	1	pfam00574	Clp protease
CLb	1	1	smart00030	CLUSTERIN Beta chain
CMP-NeuAc_Synthase	1	1	cd02513	CMP-NeuAc_Synthase activates N-acetylneuraminic acid by adding CMP moiety
CNTF	1	1	pfam01110	Ciliary neurotrophic factor
COG0075	1	1	NA	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase [Amino acid transport and metabolism]
COG0275	1	1	NA	Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis [Cell envelope biogenesis, outer membrane]
COG0388	1	1	NA	Predicted amidohydrolase [General function prediction only]
COG0436	1	1	NA	Aspartate/tyrosine/aromatic aminotransferase [Amino acid transport and metabolism]
COG0517	1	1	NA	FOG: CBS domain [General function prediction only]
COG0585	1	1	NA	Uncharacterized conserved protein [Function unknown]
COG0627	1	1	NA	Predicted esterase [General function prediction only]
COG0714	1	1	NA	MoxR-like ATPases [General function prediction only]
COG1033	1	1	NA	Predicted exporters of the RND superfamily [General function prediction only]
COG1041	1	1	NA	Predicted DNA modification methylase [DNA replication, recombination, and repair]
COG1094	1	1	NA	Predicted RNA-binding protein (contains KH domains) [General function prediction only]
COG1231	1	1	NA	Monoamine oxidase [Amino acid transport and metabolism]
COG1245	1	1	NA	Predicted ATPase, RNase L inhibitor (RLI) homolog [General function prediction only]
COG1305	1	1	NA	Transglutaminase-like enzymes, putative cysteine proteases [Amino acid transport and metabolism]
COG1331	1	1	NA	Highly conserved protein containing a thioredoxin domain [Posttranslational modification, protein turnover, chaperones]
COG1340	1	1	NA	Uncharacterized archaeal coiled-coil protein [Function unknown]
COG1361	1	1	NA	S-layer domain [Cell envelope biogenesis, outer membrane]
COG1413	1	1	NA	FOG: HEAT repeat [Energy production and conversion]
COG1524	1	1	NA	Uncharacterized proteins of the AP superfamily [General function prediction only]
COG1565	1	1	NA	Uncharacterized conserved protein [Function unknown]
COG1834	1	1	NA	N-Dimethylarginine dimethylaminohydrolase [Amino acid transport and metabolism]
COG2119	1	1	NA	Predicted membrane protein [Function unknown]
COG2123	1	1	NA	RNase PH-related exoribonuclease [Translation, ribosomal structure and biogenesis]
COG2304	1	1	NA	Uncharacterized protein containing a von Willebrand factor type A (vWA) domain [General function prediction only]
COG2520	1	1	NA	Predicted methyltransferase [General function prediction only]
COG2866	1	1	NA	Predicted carboxypeptidase [Amino acid transport and metabolism]
COG2940	1	1	NA	Proteins containing SET domain [General function prediction only]
COG3380	1	1	NA	Predicted NAD/FAD-dependent oxidoreductase [General function prediction only]
COG4122	1	1	NA	Predicted O-methyltransferase [General function prediction only]
COG4229	1	1	NA	Predicted enolase-phosphatase [Energy production and conversion]
COG4284	1	1	NA	UDP-glucose pyrophosphorylase [Carbohydrate transport and metabolism]
COG4354	1	1	NA	Predicted bile acid beta-glucosidase [Carbohydrate transport and metabolism]
COG4670	1	1	NA	Acyl CoA:acetate/3-ketoacid CoA transferase [Lipid metabolism]
COG4770	1	1	NA	Acetyl/propionyl-CoA carboxylase, alpha subunit [Lipid metabolism]
COG4886	1	1	NA	Leucine-rich repeat (LRR) protein [Function unknown]
COG5024	1	1	NA	Cyclin [Cell division and chromosome partitioning]
COG5075	1	1	NA	Uncharacterized conserved protein [Function unknown]
COG5114	1	1	NA	Histone acetyltransferase complex SAGA/ADA, subunit ADA2 [Chromatin structure and dynamics]
COG5252	1	1	NA	Uncharacterized conserved protein, contains CCCH-type Zn-finger protein [General function prediction only]
COG5273	1	1	NA	Uncharacterized protein containing DHHC-type Zn finger [General function prediction only]
COG5531	1	1	NA	SWIB-domain-containing proteins implicated in chromatin remodeling [Chromatin structure and dynamics]
COG5604	1	1	NA	Uncharacterized conserved protein [Function unknown]
COG5638	1	1	NA	Uncharacterized conserved protein [Function unknown]
COMPASS-Shg1	1	1	pfam05205	COMPASS (Complex proteins associated with Set1p) component shg1
COQ10p_like	1	1	cd07813	Coenzyme Q-binding protein COQ10p and similar proteins
COQ6	1	1	TIGR01989	ubiquinone biosynthesis monooxygenase COQ6
CPSF73-100_C	1	1	pfam11718	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
CPSase_L_chain	1	1	pfam00289	Carbamoyl-phosphate synthase L chain, N-terminal domain
CRD_FZ2	1	1	cd07464	Cysteine-rich Wnt-binding domain (CRD) of the frizzled 2 (Fz2) receptor
CRIB_PAK_like	1	1	also known as the Cdc42/Rac interactive binding (CRIB) motif	PAK (p21 activated kinase) Binding Domain (PBD), binds Cdc42p- and/or Rho-like small GTPases
CReP_N	1	1	pfam10472	eIF2-alpha phosphatase phosphorylation constitutive repressor
CSD	1	1	pfam00313	'Cold-shock' DNA-binding domain
CSTF2_hinge	1	1	pfam14327	Hinge domain of cleavage stimulation factor subunit 2
CTD_bind	1	1	pfam04818	RNA polymerase II-binding domain
CTF_NFI	1	1	pfam00859	CTF/NF-I family transcription modulation region
CUB domain	1	1	NA	NA
CUT	1	1	pfam02376	CUT domain
CWC25	1	1	pfam12542	Pre-mRNA splicing factor
CXC	1	1	pfam03638	Tesmin/TSO1-like CXC domain
CYTH-like_Pase	1	1	cl11964	CYTH-like (also known as triphosphate tunnel metalloenzyme (TTM)-like) Phosphatases
CaMKII_AD	1	1	pfam08332	Calcium/calmodulin dependent protein kinase II Association
CaiB	1	1	COG1804	Predicted acyl-CoA transferases/carnitine dehydratase [Energy production and conversion]
CaiD	1	1	COG1024	Enoyl-CoA hydratase/carnithine racemase [Lipid metabolism]
Calcyon	1	1	pfam06387	D1 dopamine receptor-interacting protein (calcyon)
Calsarcin	1	1	pfam05556	Calcineurin-binding protein (Calsarcin)
Caprin-1_C	1	1	pfam12287	Cytoplasmic activation/proliferation-associated protein-1 C term
Cas4_I-A_I-B_I-C_I-D_II-B	1	1	cl00641	CRISPR/Cas system-associated protein Cas4
CathepsinC_exc	1	1	pfam08773	Cathepsin C exclusion domain
Cbl_N2	1	1	pfam02761	CBL proto-oncogene N-terminus, EF hand-like domain
CcmE	1	1	cl00994	CcmE
Cdt1_c	1	1	cd08767	The C-terminal fold of replication licensing factor Cdt1 is essential for Cdt1 activity and directly interacts with MCM2-7 helicase
Cenp-F_N	1	1	pfam10481	Cenp-F N-terminal domain
Cep57_CLD	1	1	pfam14073	Centrosome localisation domain of Cep57
Chisel	1	1	NA	NA
Choline_transpo	1	1	pfam04515	Plasma-membrane choline transporter
Chorein_N	1	1	pfam12624	N-terminal region of Chorein, a TM vesicle-mediated sorter
CitE	1	1	COG2301	Citrate lyase beta subunit [Carbohydrate transport and metabolism]
Clathrin_H_link	1	1	pfam13838	Clathrin-H-link
ClpS	1	1	pfam02617	ATP-dependent Clp protease adaptor protein ClpS
Cluap1	1	1	pfam10234	Clusterin-associated protein-1
Clusterin	1	1	pfam01093	Clusterin
CoaE	1	1	COG0237	Dephospho-CoA kinase [Coenzyme metabolism]
Coatamer_beta_C	1	1	pfam07718	Coatamer beta C-terminal region
Coatomer_E	1	1	pfam04733	Coatomer epsilon subunit
Cobalamin_bind	1	1	pfam01122	Eukaryotic cobalamin-binding protein
Cobl	1	1	pfam09469	Cordon-bleu domain
Cog4	1	1	smart00762	COG4 transport protein
Commd5_HCaRG	1	1	it is negatively regulated by extracellular calcium concentration, and its basal...	COMM_Domain containing protein 5, also called HCaRG (hypertension-related, calcium-regulated gene). HCaRG is a nuclear protein that might be involved in cell proliferation
Commd8	1	1	presumably all COMM_Domain containing proteins are located in the nucleus and the COMM domain plays a role in protein-protein interactions. Several...	COMM_Domain containing protein 8. The COMM Domain is found at the C-terminus of a variety of proteins
Complex1_LYR	1	1	pfam05347	Complex 1 protein (LYR family)
Coprogen_oxidas	1	1	pfam01218	Coproporphyrinogen III oxidase
Cor1	1	1	NA	NA
Cornifin	1	1	pfam02389	Cornifin (SPRR) family
Costars	1	1	NA	NA
